name,extension,content_type,expected_bytes,actual_bytes,size_ok,expected_sha256,actual_sha256,sha256_ok,url
Purification_Water_1_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,437470,437470,True,7395bd978da40d986d5bd4ca65c9a3cb5dfa9fa69475f427847e088dc53881b8,7395bd978da40d986d5bd4ca65c9a3cb5dfa9fa69475f427847e088dc53881b8,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotB_gpustages.txt
Purification_Water_1_spotB_insights.png,.png,image/png,4239938,4239938,True,92675575f8e3902f92994c4c30cdff035ea598dab920b7e1f713dc55f05a75fd,92675575f8e3902f92994c4c30cdff035ea598dab920b7e1f713dc55f05a75fd,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotB_insights.png
renderdoc_analysis.json,.json,application/json,2089219,2089219,True,1ffbd95d50d708f2dd3e688d0f4aeb4c6dcadb13e32fb4922587122eb0b49090,1ffbd95d50d708f2dd3e688d0f4aeb4c6dcadb13e32fb4922587122eb0b49090,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/renderdoc_analysis.json
renderdoc_scene_previews.zip,.zip,application/zip,29431253,29431253,True,d30cf97ade5d184bc79ab1fd3d4899b6653571ac079480e468e3afb00bfcf993,d30cf97ade5d184bc79ab1fd3d4899b6653571ac079480e468e3afb00bfcf993,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/renderdoc_scene_previews.zip
report.html,.html,text/html; charset=utf-8,677805,677805,True,935db868fd9068caa259da01d5e4e7cdcc67761460629cd5f76353705cb653b1,935db868fd9068caa259da01d5e4e7cdcc67761460629cd5f76353705cb653b1,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/report.html
report_findings.json,.json,application/json,97644,97644,True,a12f72ab7cd41414992752d2432128e4dae99f6d64de16d47d8203242103003d,a12f72ab7cd41414992752d2432128e4dae99f6d64de16d47d8203242103003d,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/report_findings.json
Road_1_spotA.png,.png,image/png,1332765,1332765,True,185fb2f46dc8245ff1f31588fa4ea9a6190812ce6b67de590bf59f273644b146,185fb2f46dc8245ff1f31588fa4ea9a6190812ce6b67de590bf59f273644b146,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotA.png
Road_1_spotA.rdc,.rdc,application/octet-stream,390897616,390897616,True,16cbbd645a55e38e133ba199975c9274449b1b108947929f75b9b223777d4dac,16cbbd645a55e38e133ba199975c9274449b1b108947929f75b9b223777d4dac,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotA.rdc
Road_1_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,443243,443243,True,a255d3b6f56c46de8d29f5c81712a57f89b07c14574016898a482351a633e033,a255d3b6f56c46de8d29f5c81712a57f89b07c14574016898a482351a633e033,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotA_gpustages.txt
Road_1_spotA_insights.png,.png,image/png,5722829,5722829,True,a7641113b4d562e6556b208f6299bbd43b1d81e4e5733db3cf377476cefc55d6,a7641113b4d562e6556b208f6299bbd43b1d81e4e5733db3cf377476cefc55d6,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotA_insights.png
Road_1_spotB.png,.png,image/png,1488693,1488693,True,60e065424a40b58fbabed8e2c73e9ee61d44387404e11e23a8cab818edd69375,60e065424a40b58fbabed8e2c73e9ee61d44387404e11e23a8cab818edd69375,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotB.png
Road_1_spotB.rdc,.rdc,application/octet-stream,375600066,375600066,True,ae5f00a38f739650001c3f653fd1aa09d61e8d667088d24cea795bdd89078b23,ae5f00a38f739650001c3f653fd1aa09d61e8d667088d24cea795bdd89078b23,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotB.rdc
Road_1_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,496115,496115,True,581ad89215be25b429d8e17a1ec82dd537b1797ee6711f129f98a1f4a27fc5c8,581ad89215be25b429d8e17a1ec82dd537b1797ee6711f129f98a1f4a27fc5c8,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotB_gpustages.txt
Road_1_spotB_insights.png,.png,image/png,2526709,2526709,True,b8149e7c5ce5d5092ff4e1978a9b51b75d9bf8600200bbe01b358bc6cdf4aa0f,b8149e7c5ce5d5092ff4e1978a9b51b75d9bf8600200bbe01b358bc6cdf4aa0f,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Road_1_spotB_insights.png
summary.json,.json,application/json,100451,100451,True,87b5365c420703e5d159e7f4917251fbd708de6ed6cb310e588d15af579dedfd,87b5365c420703e5d159e7f4917251fbd708de6ed6cb310e588d15af579dedfd,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/summary.json
